perf_date,Lasker Fund,LMR Multi-Strategy Fund Ltd,HG Vora Special Opportunities Fund,"BlackRock Strategic Equity HF Ltd, EUR",Golden Pine Feeder Fund,HG Vora Special Opportunities Fund
31/12/2017,0.0198,0.017,0.0128,-0.00767,0.029607931,0.0128
31/01/2018,0.0158,0.0009,0.008,0.042817166,0.143386298,0.008
28/02/2018,0.0408,-0.0038,-0.005,-0.015068376,0.001984644,-0.005
31/03/2018,0.0212,0.0015,0.003,0.002319578,-0.015378093,0.003
30/04/2018,0.0427,0.0105,0.01,-0.012286233,0.023316499,0.01
31/05/2018,0.0048,0.0044,0.007,0.065659397,0.035673877,0.007
30/06/2018,-0.0126,-0.003,0.028,-0.002438346,-0.048391934,0.028
31/07/2018,-0.0089,0.0109,-0.006,-0.017755396,0.006606919,-0.006
31/08/2018,0.0826,0.0074,-0.004,0.0403,-0.069137969,-0.004
30/09/2018,0.0332,0.0087,0.006,-0.0025,0.054419758,0.006
31/10/2018,-0.029,-0.0054,-0.008,-0.0849,-0.029221374,-0.008
30/11/2018,-0.0112,0.0103,0.001,-0.0109,0.000723277,0.001
31/12/2018,0.033,0.0005,-0.032,0.0015,-0.013519717,-0.032
31/01/2019,0.0368,0.029879721,0.043,0.0362,0.056054573,0.043
28/02/2019,0.0245,0.018154612,0.009,0.0225,0.055131705,0.009
31/03/2019,0.0087,0.017601581,0,0.0611,0.047966881,0
30/04/2019,-0.0176,0.007629956,0.015,0.00797,-0.01181933,0.015
31/05/2019,0.058,0.003180189,-0.006,0.0304,-0.05855607,-0.006
30/06/2019,0,0.009295293,0.014,0.026,0.01605991,0.014
31/07/2019,0.0032,0.009,0,0.0081,0.011932517,0
31/08/2019,0.0553,0.0013,0.001,0.0352,-0.058673363,0.001
30/09/2019,-0.035,0.0032,-0.001,-0.0466,0.0019311,-0.001
31/10/2019,-0.0102,0.0077,0.016,0.0151,0.098594156,0.016
30/11/2019,0.007,0.0096,0.004,0.0373,-0.030108502,0.004
31/12/2019,0.0031,0.0109,0.014,-0.0013,0.057530917,0.014
31/01/2020,0.0387,0.0084,0.002,0.057752624,-0.060509045,0.002
29/02/2020,0.0443,-0.0211,-0.036,0.0031,0.010329632,-0.036
31/03/2020,0.0551,-0.244,-0.19,-0.0045,-0.05840724,-0.19
30/04/2020,-0.0241,0.074,0.095,0.05,0.027630818,0.095
31/05/2020,0.035,0.031,0.058,0.0448,-0.057173514,0.058
30/06/2020,0.0495,0.0225,0.044,-0.0049,0.070216813,0.044
31/07/2020,0.0448,0.0231,0.024,0.0297,0.111669258,0.024
31/08/2020,0.0444,0.0095,0.037,0.0452,0.045360962,0.037
30/09/2020,0.0879,0.0189,0.021,0.0154,-0.052025405,0.021
31/10/2020,-0.0152,0.0035,0.016,0.0127,0.00706227,0.016
30/11/2020,-0.096050899,0.029,0.05,0.0306,0.084459327,0.05
31/12/2020,-0.042920932,0.0243,0.019,0.0412,0.012086143,0.019
31/01/2021,-0.0635,0.023,0.013,-0.0392,0.036084696,0.013
28/02/2021,-0.0116,0.0398,0.017,0.0294,0.116342265,0.017
31/03/2021,-0.0284,0.0059,0.032,-0.0406,-0.022440649,0.032
30/04/2021,0.0511,0.013,0.028,0.0489,0.027028821,0.028
31/05/2021,-0.0008,0.0043,0.006,-0.0144,0.035639166,0.006
30/06/2021,0.062,-0.0038,0.007,0.0198,-0.026707671,0.007
31/07/2021,0.0472,-0.0016,0.005,0.0241,-0.066200136,0.005
31/08/2021,0.0051,0.0218,0.016,0.0045,0.026795454,0.016
30/09/2021,-0.0361,0.019,0.012,-0.014648905,-0.01335788,0.012
31/10/2021,0.0795,-0.0024,-0.005,0.037,-0.00499333,-0.005
30/11/2021,-0.0099,0.0118,-0.027,0.0005,-0.001351998,-0.027
31/12/2021,-0.0172,0.0074,0.018,-0.0057,0.002199196,0.018
31/01/2022,-0.0787,0.016,-0.012,-0.0946,0.019515764,-0.012
28/02/2022,-0.0222,0.0079,0.014,-0.0246,0.022291844,0.014
31/03/2022,0.0325,-0.0016,-0.019,0.0355,0.016996308,-0.019
30/04/2022,-0.0758,0.0138,-0.0347,-0.0384,0.003295561,-0.0347
31/05/2022,-0.0322,-0.009,-0.0155,-0.0242,0.019642541,-0.0155
30/06/2022,-0.0151,0.0034,-0.0987,0.0479,0.037344958,-0.0987
31/07/2022,0.0024,-0.0069,0.0183,-0.0054,-0.01828875,0.0183
31/08/2022,-0.0067,0.0127,0.0273,-0.0246,0.030064267,0.0273
30/09/2022,0.0166,0.006,-0.0522,0.0283,-0.066404666,-0.0522
31/10/2022,-0.0062,0.01,0.0286,-0.0091,-0.084600865,0.0286
30/11/2022,0.0189,0.0093,0.0406,-0.0206,0.209370818,0.0406
31/12/2022,-0.0101,0.0203,-0.0148,-0.0062,0.008314931,-0.0148
31/01/2023,-0.0341,0.0084,0.0432,0.0248,0.034083,0.0432
28/02/2023,0.0198,0.0016,0.0066,0.0002,-0.062,0.0066
31/03/2023,0.0942,-0.0031,-0.0047,0.016,-0.032324,-0.0047
30/04/2023,0.0355,0.0066,0.005,-0.0136,0.028155,0.005
31/05/2023,0.053,-0.0107,-0.0225,0.0429,-0.12299,-0.0225
30/06/2023,-0.0005,0.0067,0.0079,0.0206,0.037043,0.0079
31/07/2023,-0.0632,0.003,0.0294,-0.0026,0.130866,0.0294
31/08/2023,0.0337,0.009,0.0068,0.0207,-0.028008,0.0068
30/09/2023,0.0218,0.0179,0.0023,-0.0193,0.004219,0.0023
31/10/2023,0.0314,0.0133,-0.027,-0.0054,-0.015893,-0.027
30/11/2023,0.0091,-0.0101,0.0307,0.0399,0.016366,0.0307
31/12/2023,-0.0631,-0.0128,0.0165,0.0134,-0.027776,0.0165
31/01/2024,0.0598,0.0166,-0.0074,0.0399,0.010008,-0.0074
29/02/2024,0.068,-0.0059,-0.0249,0.0677,0.039261,-0.0249
31/03/2024,0.0009,0.0123,0.0104,0.0179,0.027021,0.0104
30/04/2024,-0.0062,0.0167,-0.0073,-0.0153,0.062168,-0.0073
31/05/2024,-0.0033,0.0066,-0.0057,0.0043,0.056314,-0.0057
30/06/2024,0.0313,0.0031,0.0199,0.0399,0.0053,0.0199
31/07/2024,-0.067030003,0.0019,-0.0096,-0.0406,-0.0292,-0.0096
31/08/2024,0.053768945,0.0201,0.002,0.0056,0.0033,0.002
30/09/2024,-0.0194,0.0106,0.02,-0.004,0.093815,0.02
31/10/2024,0.024700352,0.034,0.0182,0.0063,-0.053167126,0.0182
30/11/2024,0.018,0.0163,0.01,0.0239,-0.0366,0.01
31/12/2024,-0.0345,0.0179,0.0144,-0.0202,0.049129616,0.0144
31/01/2025,0.0181,0.0067,0.0068,0.0286,-0.026600963,0.0068
28/02/2025,-0.0114,0.0109,0.004,-0.0224,0.043667713,0.004
31/03/2025,-0.057832788,0.0043,-0.0332,-0.0706,0.003195378,-0.0332
30/04/2025,,0.0098,,0.0222,-0.033480227,
31/05/2025,,0.0119,,0.0643,0.019408242,
30/06/2025,,0.0134,,0.0313,0.072009446,
31/07/2025,,0.0063,,-0.0098,0.0289,
